gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_ax,gt_ay,gt_az,gt_qw,gt_qx,gt_qy,gt_qz,gt_wx,gt_wy,gt_wz
32.26865768432617,-63.40486145019531,-26.456220626831055,-1.140358567237854,-4.433044910430908,0.8658224940299988,-0.17649652063846588,0.14992597699165344,0.3310108184814453,0.6507778167724609,-0.007264433894306421,0.007385889068245888,-0.7591975927352905,0.05066758394241333,0.0040617757476866245,0.015403968282043934
32.25496292114258,-63.458045959472656,-26.4458065032959,-1.1424413919448853,-4.431247234344482,0.8697802424430847,-0.17077945172786713,0.14955878257751465,0.3294343948364258,0.6508505344390869,-0.007064667996019125,0.007191565819084644,-0.7591390609741211,0.04215843603014946,0.0036298464983701706,0.015718618407845497
32.24467468261719,-63.497920989990234,-26.437965393066406,-1.143961787223816,-4.42990255355835,0.8727324604988098,-0.16604717075824738,0.14913995563983917,0.32659053802490234,0.6509057879447937,-0.006938331760466099,0.007066019810736179,-0.7590939998626709,0.03688036650419235,0.002458489965647459,0.016018565744161606
32.234371185302734,-63.55107116699219,-26.42746925354004,-1.1459424495697021,-4.42811393737793,0.8766324520111084,-0.16306172311306,0.1488025039434433,0.32291698455810547,0.6509616374969482,-0.006830055266618729,0.0069544995203614235,-0.7590481042861938,0.03082837164402008,0.001101069850847125,0.016238294541835785
32.22061538696289,-63.590919494628906,-26.419565200805664,-1.1473978757858276,-4.426331043243408,0.8804954290390015,-0.1597217619419098,0.14831557869911194,0.31598758697509766,0.6510370969772339,-0.0067098913714289665,0.006823843345046043,-0.758985698223114,0.027299489825963974,0.00048432202311232686,0.016459038481116295
32.20683288574219,-63.6440315246582,-26.408987045288086,-1.1493054628372192,-4.424997806549072,0.8833305835723877,-0.15746207535266876,0.1479322910308838,0.31607532501220703,0.651094377040863,-0.006607795599848032,0.006708910223096609,-0.7589219212532043,0.02410546876490116,0.0003690433513838798,0.016720514744520187
32.19648361206055,-63.68385314941406,-26.401023864746094,-1.1507132053375244,-4.423667907714844,0.8861778974533081,-0.15478645265102386,0.14747081696987152,0.31475353240966797,0.6511717438697815,-0.006537762004882097,0.006632569245994091,-0.7588733434677124,0.021892370656132698,0.0008317565079778433,0.016912076622247696
32.18266296386719,-63.7369270324707,-26.390365600585938,-1.1525633335113525,-4.421899318695068,0.889954149723053,-0.15297552943229675,0.1471976637840271,0.31491851806640625,0.6512303948402405,-0.006455582566559315,0.006546205375343561,-0.7588076591491699,0.017189739271998405,0.0006789303733967245,0.01712653413414955
32.17228317260742,-63.77671813964844,-26.382341384887695,-1.1539332866668701,-4.4205756187438965,0.8927807211875916,-0.15151293575763702,0.1469380408525467,0.2821311950683594,0.651309072971344,-0.0064094397239387035,0.006497188005596399,-0.7587577104568481,0.01288161426782608,0.0005466635338962078,0.017291298136115074
32.158424377441406,-63.82975387573242,-26.371606826782227,-1.155751347541809,-4.4188127517700195,0.8960345983505249,-0.15120530128479004,0.14681562781333923,0.24944591522216797,0.6513883471488953,-0.006362142041325569,0.0064532021060585976,-0.7586904764175415,0.008850706741213799,0.0015941456658765674,0.01741059683263302
32.14801788330078,-63.8695182800293,-26.36353302001953,-1.1575603485107422,-4.417051792144775,0.898981511592865,-0.15027524530887604,0.14675894379615784,0.2443065643310547,0.651448130607605,-0.006331032607704401,0.006432105787098408,-0.7586395144462585,0.007591693662106991,0.00292828306555748,0.017568187788128853
32.13412094116211,-63.92251968383789,-26.35273551940918,-1.1589099168777466,-4.415730953216553,0.901176929473877,-0.14961762726306915,0.14686918258666992,0.24339866638183594,0.6515284180641174,-0.006286164745688438,0.006411029491573572,-0.7585710883140564,0.007486370857805014,0.003462061285972595,0.017679506912827492
32.12368392944336,-63.962257385253906,-26.344615936279297,-1.1607029438018799,-4.413967609405518,0.9039372205734253,-0.14956633746623993,0.14705970883369446,0.19678401947021484,0.6515890955924988,-0.006253375671803951,0.006395339500159025,-0.7585194110870361,0.0067250388674438,0.0022491151466965675,0.017798082903027534
32.10974884033203,-64.01522064208984,-26.333763122558594,-1.1620478630065918,-4.4126434326171875,0.9056128263473511,-0.14926324784755707,0.14713507890701294,0.17665767669677734,0.6516703367233276,-0.006219574250280857,0.006374642718583345,-0.7584500312805176,0.0053618294186890125,0.0011383373057469726,0.017859766259789467
32.09928512573242,-64.054931640625,-26.325603485107422,-1.1633896827697754,-4.411318778991699,0.9071979522705078,-0.14888647198677063,0.147115558385849,0.17386722564697266,0.6517314910888672,-0.0062033249996602535,0.006362352520227432,-0.75839763879776,0.003382529132068157,0.0007564867264591157,0.01791928894817829
32.09230422973633,-64.0946273803711,-26.317432403564453,-1.164728045463562,-4.409995079040527,0.9087691903114319,-0.1485728919506073,0.14706258475780487,0.17383861541748047,0.6517723202705383,-0.006195798981934786,0.006358756683766842,-0.7583627104759216,0.0017265230417251587,0.0012095696292817593,0.01793317310512066
32.081817626953125,-64.12108612060547,-26.311975479125977,-1.165619134902954,-4.409112930297852,0.9098102450370789,-0.1484704315662384,0.1470707207918167,0.1730642318725586,0.6518335342407227,-0.006188325118273497,0.006361584644764662,-0.7583101987838745,-0.0002807766431942582,0.0016500416677445173,0.017952507361769676
32.071319580078125,-64.1607666015625,-26.30104637145996,-1.1674014329910278,-4.407347202301025,0.9118581414222717,-0.14865021407604218,0.14717933535575867,0.16489219665527344,0.6518948078155518,-0.006185097154229879,0.006369634531438351,-0.7582575082778931,-0.0019342803861945868,0.001440009567886591,0.01797081157565117
